time,mark,price,price_next,signal,desired_pos,position,turnover,cost,gross_ret,strategy_ret,equity,event
2025-10-14,open,115804.0,113196.0,-1.0,-1.0,-1.0,2.0,0.001,0.023039683381038234,0.022039683381038233,1.1335627419940864,signal
2025-10-15,open,113196.0,110926.0,1.0,-1.0,-1.0,0.0,0.0,0.020464093179236587,0.020464093179236587,1.1567600755707643,
2025-10-16,open,110926.0,108523.0,1.0,1.0,1.0,2.0,0.001,-0.021663090709121424,-0.022663090709121425,1.1305443170494138,signal
2025-10-17,open,108523.0,108860.0,-1.0,1.0,1.0,0.0,0.0,0.003105332510159098,0.003105332510159098,1.134055033071323,
2025-10-20,open,108860.0,110573.0,1.0,-1.0,-1.0,2.0,0.001,-0.01549202789107651,-0.01649202789107651,1.1153521658358951,signal
2025-10-21,open,110573.0,110882.0,-1.0,1.0,1.0,2.0,0.001,0.0027945339278123704,0.0017945339278123704,1.1173537031389469,signal
2025-10-22,open,110882.0,107240.0,-1.0,-1.0,-1.0,2.0,0.001,0.03396120850428952,0.03296120850428952,1.1541830315211499,signal
2025-10-23,open,107240.0,109572.0,-1.0,-1.0,-1.0,0.0,0.0,-0.021282809476873665,-0.021282809476873665,1.1296187739598447,
2025-10-24,open,109572.0,114704.0,-1.0,-1.0,-1.0,0.0,0.0,-0.04474124703584881,-0.04474124703584881,1.0790782213377745,
2025-10-27,open,114704.0,114123.0,-1.0,-1.0,-1.0,0.0,0.0,0.005090998308842298,0.005090998308842298,1.0845718067377137,
2025-10-28,open,114123.0,113232.0,-1.0,-1.0,-1.0,0.0,0.0,0.007868800339126736,0.007868800339126736,1.0931060857383788,
2025-10-29,open,113232.0,111035.0,-1.0,-1.0,-1.0,0.0,0.0,0.019786553789345795,0.019786553789345795,1.1147348881013024,
2025-10-30,open,111035.0,107912.0,-1.0,-1.0,-1.0,0.0,0.0,0.028940247609162917,0.028940247609162917,1.1469955917815267,
2025-10-31,open,107912.0,109971.0,-1.0,-1.0,-1.0,0.0,0.0,-0.018723117912904264,-0.018723117912904264,1.1255202580710197,
2025-11-03,open,109971.0,106479.0,1.0,-1.0,-1.0,0.0,0.0,0.03279519905333439,0.03279519905333439,1.1624319189730192,
2025-11-04,open,106479.0,101203.0,-1.0,1.0,1.0,2.0,0.001,-0.04954967646202535,-0.05054967646202535,1.103671361559802,signal
2025-11-05,open,101203.0,103767.0,-1.0,-1.0,-1.0,2.0,0.001,-0.02470920427496215,-0.02570920427496215,1.0752968490730355,signal
2025-11-06,open,103767.0,101289.0,1.0,-1.0,-1.0,0.0,0.0,0.024464650653081677,0.024464650653081677,1.1016036108339669,
2025-11-07,open,101289.0,104732.0,1.0,1.0,1.0,2.0,0.001,0.03399184511644893,0.032991845116448926,1.1379475465423219,signal
2025-11-10,open,104732.0,106041.0,-1.0,1.0,1.0,0.0,0.0,0.012498567772982527,0.012498567772982527,1.1521702610748803,
2025-11-11,open,106041.0,102973.0,1.0,-1.0,-1.0,2.0,0.001,0.02979421790178005,0.02879421790178005,1.1853461026322214,signal
2025-11-12,open,102973.0,101949.0,-1.0,1.0,1.0,2.0,0.001,-0.009944354345313822,-0.010944354345313823,1.1723732548631776,signal
2025-11-13,open,101949.0,99810.3,-1.0,-1.0,-1.0,2.0,0.001,0.021427648248727893,0.020427648248727892,1.1963220833297386,signal
2025-11-14,open,99810.3,94098.1,-1.0,-1.0,-1.0,0.0,0.0,0.060704732614154766,0.060704732614154766,1.2689444955186788,
2025-11-17,open,94098.1,92186.2,-1.0,-1.0,-1.0,0.0,0.0,0.020739546700048406,0.020739546700048406,1.2952618291432578,
2025-11-18,open,92186.2,93135.8,-1.0,-1.0,-1.0,0.0,0.0,-0.010195864533294463,-0.010195864533294463,1.282055514998166,
2025-11-19,open,93135.8,90413.4,-1.0,-1.0,-1.0,0.0,0.0,0.030110580953708332,0.030110580953708332,1.3206589513696665,
2025-11-20,open,90413.4,87994.8,-1.0,-1.0,-1.0,0.0,0.0,0.027485715064980987,0.027485715064980987,1.3569582070050297,
2025-11-21,open,87994.8,88021.1,-1.0,-1.0,-1.0,0.0,0.0,-0.00029879199419236,-0.00029879199419236,1.3565527587563229,
2025-11-24,open,88021.1,88644.6,-1.0,-1.0,-1.0,0.0,0.0,-0.007033705380812827,-0.007033705380812827,1.347011166317702,
2025-11-25,open,88644.6,87652.4,1.0,-1.0,-1.0,0.0,0.0,0.01131971286582023,0.01131971286582023,1.362258945947472,
2025-11-26,open,87652.4,90404.4,-1.0,1.0,1.0,2.0,0.001,0.031396744413159317,0.030396744413159316,1.4036671829519771,signal
2025-11-27,open,90404.4,91345.0,-1.0,-1.0,-1.0,2.0,0.001,-0.01029722480705031,-0.01129722480705031,1.3878096392318897,signal
2025-11-28,open,91345.0,91250.0,-1.0,-1.0,-1.0,0.0,0.0,0.0010410958904110146,0.0010410958904110146,1.3892544821439667,
2025-12-01,open,91250.0,86580.0,-1.0,-1.0,-1.0,0.0,0.0,0.05393855393855396,0.05393855393855396,1.464188859963467,
2025-12-02,open,86580.0,91987.0,-1.0,-1.0,-1.0,0.0,0.0,-0.05878004500635958,-0.05878004500635958,1.378123772877004,
2025-12-03,open,91987.0,93809.5,-1.0,-1.0,-1.0,0.0,0.0,-0.019427669905499934,-0.019427669905499934,1.3513500391286273,
2025-12-04,open,93809.5,92386.4,-1.0,-1.0,-1.0,0.0,0.0,0.015403782374895147,0.015403782374895147,1.3721659410436706,
2025-12-05,open,92386.4,89633.8,-1.0,-1.0,-1.0,0.0,0.0,0.030709397571005548,0.030709397571005548,1.4143043304605736,
2025-12-08,open,89633.8,90844.6,-1.0,-1.0,-1.0,0.0,0.0,-0.01332825506414248,-0.01332825506414248,1.3954541216058738,
2025-12-09,open,90844.6,92913.4,-1.0,-1.0,-1.0,0.0,0.0,-0.02226589490859221,-0.02226589490859221,1.3643830867844355,
2025-12-10,open,92913.4,92542.0,-1.0,-1.0,-1.0,0.0,0.0,0.004013312874154407,0.004013312874154407,1.369858782991906,
2025-12-11,open,92542.0,92383.0,-1.0,-1.0,-1.0,0.0,0.0,0.001721095872617262,0.001721095872617262,1.3722164412893818,
2025-12-12,open,92383.0,88488.5,-1.0,-1.0,-1.0,0.0,0.0,0.0440113687089283,0.0440113687089283,1.4326095650354222,
2025-12-15,open,88488.5,86279.7,1.0,-1.0,-1.0,0.0,0.0,0.025600459899605577,0.025600459899605577,1.469285028756903,
2025-12-16,open,86279.7,87795.5,1.0,1.0,1.0,2.0,0.001,0.01756844309843464,0.016568443098434638,1.4936287941512438,signal
2025-12-17,open,87795.5,86313.3,1.0,1.0,1.0,0.0,0.0,-0.01688241424674386,-0.01688241424674386,1.468412734117518,
2025-12-18,open,86313.3,85542.4,1.0,1.0,1.0,0.0,0.0,-0.008931416131697123,-0.008931416131697123,1.4552977289360312,
2025-12-19,open,85542.4,88475.2,-1.0,1.0,1.0,0.0,0.0,0.03428475235672601,0.03428475235672601,1.5051922511779088,
2025-12-22,open,88475.2,88641.4,-1.0,-1.0,-1.0,2.0,0.001,-0.001874970386298025,-0.002874970386298025,1.5008648680300871,signal
2025-12-23,open,88641.4,87379.7,-1.0,-1.0,-1.0,0.0,0.0,0.014439280519388253,0.014439280519388253,1.5225362768812682,
2025-12-24,open,87379.7,87997.1,-1.0,-1.0,-1.0,0.0,0.0,-0.007016140304623719,-0.007016140304623719,1.5118539487437899,
2025-12-25,open,87997.1,87597.1,-1.0,-1.0,-1.0,0.0,0.0,0.004566361215154302,0.004566361215154302,1.5187576199783115,
2025-12-26,open,87597.1,87847.9,-1.0,-1.0,-1.0,0.0,0.0,-0.0028549344947345068,-0.0028549344947345068,1.5144216664598946,
2025-12-29,open,87847.9,87290.5,-1.0,-1.0,-1.0,0.0,0.0,0.006385574604338418,0.006385574604338418,1.5240921189935008,
2025-12-30,open,87290.5,88368.8,-1.0,-1.0,-1.0,0.0,0.0,-0.012202270484605426,-0.012202270484605426,1.5054947347140868,
2025-12-31,open,88368.8,88557.4,-1.0,-1.0,-1.0,0.0,0.0,-0.0021296921544669,-0.0021296921544669,1.502288494388975,
2026-01-02,open,88557.4,91202.5,-1.0,-1.0,-1.0,0.0,0.0,-0.02900249444916536,-0.02900249444916536,1.4587183806694137,
2026-01-05,open,91202.5,94171.7,-1.0,-1.0,-1.0,0.0,0.0,-0.031529642132402835,-0.031529642132402835,1.412725512154949,
2026-01-06,open,94171.7,93341.0,-1.0,-1.0,-1.0,0.0,0.0,0.008899626102141678,0.008899626102141678,1.4252982409980846,
2026-01-07,open,93341.0,91126.9,-1.0,-1.0,-1.0,0.0,0.0,0.024296887088225416,0.024296887088225416,1.4599285514266613,
2026-01-08,open,91126.9,91092.9,-1.0,-1.0,-1.0,0.0,0.0,0.0003732453352567333,0.0003732453352567333,1.4604734629482894,
